date_year,date_month,date_day,season,date_month_exact,date_day_exact,date_descriptive,parish,location_descriptive,location_latitude,location_longitude,source_page,source,notes,notes_additional
1664,09,01,,TRUE,FALSE,Beginning of September,,,,,3,1,H.F. first hears of the plague having arrived in Holland.,
1665,,,,FALSE,FALSE,,Aldgate*,b/w Aldgate Church and White-Chappel Bars on the left and north sides of the street,,,9,1,"H.F.'s home. Aldgate is in the East End, while the plague begins to the West. H.F. is concerned about the City since it lay in between his home and the West End. H.F. says he lives in Aldgate Parish, but later, he says White Chapel (107).",
1665,,,,FALSE,FALSE,,,Northhamptonshire,,,11,1,H.F.'s original home.,
1665,,,,FALSE,FALSE,,,Lincolnshire,,,11,1,H.F.'s sister's home.,
1665,,,,FALSE,FALSE,,,Bedfordshire,,,11,1,"H.F.'s brother leaves London. He arrives in Bedforshire via Dorking in Surrey, then on to Buckinghamshire or Bedforshire (not clear).",
1665,,,,FALSE,FALSE,,Holbourn,,,,18,1,H.F. observes people avoiding one another in the street.,
1665,,,,TRUE,FALSE,March,,,,,24,1,"H.F. observes a woman who claims to see an angel, which he does not.",
1665,,,,FALSE,FALSE,,,Narrow passage connecting Petty-France and Bishopgate Church Yard,,,24,1,"H.F. observes a man who claims to have seen a ghost, which he does not.",
1665,,,,FALSE,FALSE,,,Houndsditch,,,48,1,H.F. hears a story about an infected woman who escaped from a house in which all her family members died.,
1665,,,,FALSE,FALSE,,Algate,Coleman-street,,,52,1,H.F. notes many alleys that enabled people to escape being shup in their homes.,
1665,,,,FALSE,FALSE,,,Throckmorton Street,,,55,1,"H.F. relates the story of a wealthy Dutch merchant who had enough money and provisions to keep his family shut up for quite some time. This was not, however, the norm.",
1665,08,01,,TRUE,FALSE,Beginning of August,Algate,Church-Yard,,,58,1,H.F. observes that there were 50 to 60 bodies per pit.,
1665,08,01,,TRUE,FALSE,Middle to End of August,Algate,Church-Yard,,,58,1,"H.F. observes that the number of bodies per pit had increased to 200-400. The original pit had been filled by late August, requiring a second larger pit be dug to accomodate the dead. H.F. also notes that Algate and White Chapel suffered perhaps the worst.",H.F. notes that they kept having to dig larger pits to accomodate the increasing number of bodies. They had to dig larger pits to accomodate the increasing number of bodies.
1665,09,06,,TRUE,TRUE,September 6-20,Algate,Church-Yard,,,59,1,H.F. estimates that they threw 1114 bodies in the pit during this period.,"H.F. observes that the pit ran parallel to the passage by the West Wall of the Church-Yard, out of Houndsditch and then turns east into White-Chappel, coming out near the three Nuns Inn."
1665,09,10,,TRUE,TRUE,September 10,Algate,Church-Yard,,,59,1,H.F. observes 400 bodies buried in the pit.,
1665,,,,FALSE,FALSE,,Cripplegate,Finsbury,,,60,1,H.F. relates the story of a pit into which people threw themselves before they died and were buried.,
1665,,,,FALSE,FALSE,,,"Houndsditch, Pye Tavern",,,61,1,A grieving man is lead to the tavern after witnessing the pit. H.F. goes to the tavern to console the man before returning home.,
1665,,,,FALSE,FALSE,,,Harrow-Alley in the Butcher-Row,,,62,1,H.F. observes the carts carrying the dead near his home.,
1665,,,,FALSE,FALSE,Returns to earlier months,,Aldersgate-Street to Islington,,,69-70,1,"H.F. tells the story of a man who broke out of his home and traveled the road to Islington, where he was refused at two inns, the Angel Inn and the White-Horse. He is given a room at the Pyed Bull, where he dies.",
1665,,,,FALSE,FALSE,,,,,,71,1,"H.F. speculates that 200,000 people total have fled the city and its suburbs.",
1665,,,,FALSE,FALSE,,,Bunhill-Fields,,,72,1,Site of the only Pest-House in London.,
1665,08,01,,TRUE,FALSE,Beginning of August,Aldgate,H.F. home,,,75,1,H.F. comments that the plague was raging where he lived.,
1665,,,,FALSE,FALSE,,,Spittle-Fields,,,78,1,"A market grows beyond White-Chappel in Spittle-Fields, which H.F. notes were once really fields. Similar to St. George's-fields in Southwerk, Bun-Hill Fields, and Wood's Close near Islington.",
1665,,,,FALSE,FALSE,,Coleman's-street Parish,,,,78,1,H.F. brother's home.,
1665,,,,FALSE,FALSE,,,Token-House-Yard in Lothbury,,,79,1,"H.F. observes a woman screaming ""Oh! Death!"" three times from a high window, but no one seems to care.",
1665,,,,FALSE,FALSE,,,Bell-Alley,,,79,1,"H.F. observes a grieving family whose father, a merchant and deputy alderman, just hung himself.",
1665,,,,FALSE,FALSE,,,Houndsditch,,,81,1,"H.F. tells of a man and his daughter being found stripped naked by thieves, a common practice.",
1665,,,,FALSE,FALSE,,,London,,,82,1,"H.F. notes that, if a story took place in White-Chappel, it more likely occured on the other side of town in St. Giles's, Westminster, or Holborn. If they story was set on that side of town, it probably really happened in White-Chapel, the Minories, or Cirpplegate Parish. If the City, then Southwerk, and vice versa.",
1665,06,01,,TRUE,FALSE,June,,,,,84,1,"H.F. places the story in later June, prior to the arrival of the Dead Carts, when they rang a ceremonial bell for the dead. This practice ended by late July when the numbers grew to 550 a week.",
1665,,,,FALSE,FALSE,,Coleman's-street Parish,Swan-Alley,,,84,1,H.F.'s brother's house.,
1665,,,,FALSE,FALSE,,St. Stephen Colman-street,,,,86-87,1,"H.F. notes that the parish is filled with many alleys that make travel difficult for the Dead Carts: Whites-Alley, Cross-Key-Court, Swain-Alley, Bell-Alley, and White-Horse-Alley.",
1665,,,,FALSE,FALSE,,,Public House in Coleman-street,,,88,1,H.F. tells the story of a piper who ate too much as the public house and was laid out for dead in a street near London-Wall toward Cripplegate. The man eventually woke around Mount-mill.,
1665 -,,,,FALSE,FALSE,post-plague and fire,,London,,,90,1,"H.F. notes that the city was more frugal with its money prior to the plague and fire. Afterward, they spent a considerable amount of money to rebuild the city. H.F. lists the buildings and public works that were restored and rebuilt.",
1665,,,,FALSE,FALSE,,,London,,,90-91,1,"H.F. notes that the nobility and gentry did provide some charity to the city and the suburbs, but he can't confirm anything beyond what he heard.",
1665,08,01,,TRUE,FALSE,mid-August to mid-October,,London,,,95,1,"H.F. speculates that 30 to 40,000 poor people died and, had they not, would have been a burden on the system of charity. He also speculates that 10,000 houses were shut up at its height.",
1665,,,,FALSE,FALSE,,,Bednal-green/Hackney,,,97,1,H.F. walks in the fields toward both locations and observes many wandering and lost.,
