route,date_year,date_month,date_day,season,date_month_exact,date_day_exact,date_descriptive,Weekday,Itinerary_Day,parish,location_descriptive,location_exact,location_latitude,location_longitude,source_page,source,notes,notes_additional,Start_Point,Route_Point1,Route_Point2,Route_Point3,Route_Point4,Route_Point5,End_Point,RoutePointDistance_Miles,Cumlative_distance,StartTime_24,Time_exact,ArriveTime_24,Time_exact,Cumulative_time,Weather,Conveyance,Conveyance_exact,HM_Sight1,HM_Sight2,HM_Sight3,HM_Sight4,HM_Comment,NN Journal Notes,Editorial_Note,Image1,Image2,Image3,Traveler,Companion,Ocean,Continent,Region_Nation,City
1,1857,2,24,Winter,TRUE,TRUE,TRUE,Tuesday,1,,Naples Post Office,TRUE,,,105,NN Journal,,,"""Post Office""",,,,,,,0,,800,TRUE,,,0,,Coup�,TRUE,,,,,"Feeling ""snug""; �Smart postilion�one continual gallop & crack of the whip from post to post.�",,Stagecoach horse speed = 5/6mph. Horses change every 10/12 miles or Two hours.,,,,Melville,Old Frenchman,,Europe,Kingdom of Two Sicilies,Naples
1,1857,2,24,,,,,,,,,,,,,,,,,8 Mile Stop,,,,,,8,8,,FALSE,1000,FALSE,2,,,,100 horses at diligence,,,,Change horses every 8 miles,,,,,,,,,,,
1,1857,2,24,,,,,,,,,,,,,,,,,,"""Fondi""",,,,,57,65,,FALSE,,,,,,,Friend in Veturino,Various ruins,,,�Fine level country about Naples. Vines abundant.� ,,"""level""<?>",,,,,,,,,
1,1857,2,24,,,,,,,,,,,,,,,,,,,"""Terracina """,,,,17,82,,FALSE,1752,FALSE,10,"""night fall""",,,,,,,�The tower & sea at Terracina. Night.� ,,"Ausoni Mountains; Monte San Biaggi<?>;  65 miles from Naples to Fondi.  Coach would have arrived at �nightfall,� which was at 5:52pm, having made 6 stops for new horses on the way.",,,,,,,,,
1,1857,2,24,,,,,,,,,,,,,,,,,,,,"""Alban Mount""",,,38,120,,FALSE,652,FALSE,21,"""daybreak""",,,,,,,,,[The Alban Hills are about 25 miles Southeast from the center of Rome; 80miles/13hrs = 6mph; 4 hours to Rome],,,,,,,,,
1,1857,2,24,,,,,,,,,,,,,,,,,,,,,Porta San Giovanni,,24,144,,TRUE,1000,TRUE,24,,,,,,,,,,"HM reached Rome on Via Appia Nuova (built in 1784 between Rome and Alban Hills, parallel to Via Appia and would have entered the city at Porta di San Giovanni.",,,,,,,,,
2,1857,2,25,,,,,Wednesday,1,,"Post Office, Piazza San Silvestro",FALSE,,,,,,,,,,,,,Piazza San Silvestro,2,146,,FALSE,1100,FALSE,25,,,,,,,,�First letter from home.�,,"Since HM left from the Naples Post Office, he might have arrived at Rome's central post office in Piazza San Silvestro.",,,,,,,,,Rome
2,1857,2,25,,,,,,,,,,,,,,,,Piazza San Silvestro,,,,,,,,,1200,FALSE,,,0,,Foot or Cab,FALSE,,,,,,,"Though his hotel was only half a mile away, HM might have taken a cab rather than negotiate the streets with his luggage.",,,,,,,,,
2,1857,2,25,,,,,,,,,,,,,,,,,�Hotel de Minerva�,,,,,,,,,,1300,FALSE,1,,Foot or Cab,FALSE,�obelisk on elephant� ,,,,,,"Monument in front of hotel, erected in 1667 and  consisting of an obelisk found in nearby ruins mounted atop an elephant sculpted by Bernini in  in Piazza della Minerva",,,,,,,,,
2,1857,2,25,,,,,,,,,,,,106,NN Journal,,,,,"""Capitol""",,,,,,,,,1400,FALSE,2,,Foot,TRUE,Capitoline Hill,Tiber River,St. Peter's (in distance),,"�took view from tower�: �chafed mood�: �Rome fell flat on me.  Oppressively flat�� �Tiber a ditch, yellow as saffron� �St Peters looks small from Tower of Capitol�",,"HM probably walked to the Capitoline Hill (Piazza del Campidoglio), climbed clock tower of Palazzo  Senatorio, viewed entire city, writes (as did most tourists to Rome) of disappointment; sees St. Peter's from in the distance.",,,,,,,,,
